V-Cr-Mn-Zn-Pt,7-7-7-7-4,4.08158976380527493100,5
V-Cr-Mn-Mo-Pt,7-7-7-7-4,4.26772041024245167200,8
V-Cr-Mn-W-Pt,7-7-7-7-4,4.46678715633507659500,17
V-Cr-Fe-Mo-Pt,7-7-7-7-4,4.06286536818536481500,29
V-Cr-Fe-W-Pt,7-7-7-7-4,4.26442405255387330500,38
V-Cr-Fe-Au-Pt,7-7-7-7-4,4.93045383306648557400,42
V-Cr-Co-Ni-Pt,7-7-7-7-4,4.02697932698939987900,44
V-Cr-Co-Zn-Pt,7-7-7-7-4,4.30374110513167369300,46
V-Cr-Co-Mo-Pt,7-7-7-7-4,4.48650755042271159200,49
V-Cr-Co-Pd-Pt,7-7-7-7-4,4.13487454465065965100,53
V-Cr-Co-W-Pt,7-7-7-7-4,4.68177984317930097100,58
V-Cr-Co-Re-Pt,7-7-7-7-4,4.13487454465065965100,59
V-Cr-Ni-Zn-Pt,7-7-7-7-4,4.30374110513167369300,65
V-Cr-Ni-Mo-Pt,7-7-7-7-4,4.48650755042271159200,68
V-Cr-Ni-Pd-Pt,7-7-7-7-4,4.13487454465065965100,72
V-Cr-Ni-W-Pt,7-7-7-7-4,4.68177984317930097100,77
V-Cr-Ni-Re-Pt,7-7-7-7-4,4.13487454465065965100,78
V-Cr-Cu-Ag-Pt,7-7-7-7-4,4.99186838768812092900,91
V-Cr-Cu-W-Pt,7-7-7-7-4,4.07764484721266523300,95
V-Cr-Cu-Au-Pt,7-7-7-7-4,4.75187463008021708800,99
V-Cr-Zn-Nb-Pt,7-7-7-7-4,4.69291354064828260100,102
V-Cr-Zn-Ag-Pt,7-7-7-7-4,4.25246252188070435900,108
V-Cr-Zn-Ta-Pt,7-7-7-7-4,4.69291354064828260100,111
V-Cr-Zn-Au-Pt,7-7-7-7-4,4.04606290114229440100,116
V-Cr-Nb-Mo-Pt,7-7-7-7-4,4.73226954008327805400,134
